	MR	ARI_o	ARI_r	Time
140	0.05	0.7867834584674193	0.7816573150297943	0.15602
141	0.05	0.8224103477990162	0.822862684169838	0.15313
142	0.05	0.8226984956470872	0.8219052767983428	0.15794
143	0.05	0.8339981536975704	0.8341634331772405	0.15811
144	0.05	0.8687295946127981	0.864179049537803	0.15386
145	0.05	0.8693186728770205	0.8650977808216749	0.21135
146	0.05	0.8439511351535558	0.8431173093244126	0.15144
147	0.05	0.8436222846550548	0.8362492907144086	0.21376
148	0.05	0.8549189109123337	0.8467564255047293	0.15521
149	0.05	0.8312999909622057	0.8311426509205633	0.15197
150	0.05	0.829012900745665	0.8212111568774537	0.16094
151	0.05	0.8342009961026796	0.8293232128533267	0.14854
152	0.05	0.8570181197297482	0.8545235213295931	0.1483
153	0.05	0.8160657715796081	0.8121420835063637	0.15341
154	0.05	0.8236175307447624	0.818612697722124	0.14532
155	0.05	0.8528613986788129	0.8483426526370115	0.14895
156	0.05	0.8324749353959379	0.8265939616592393	0.15594
157	0.05	0.8521957689255336	0.8521786570368952	0.16045
158	0.05	0.8714646417393926	0.873317077033973	0.15333
159	0.05	0.8133961944071535	0.8131439806434017	0.19124
160	0.05	0.7636844440728582	0.7586556489529378	0.30758
161	0.05	0.8383741641605995	0.841821515685452	0.15072
162	0.05	0.8183798160717201	0.8116721335548162	0.15502
163	0.05	0.8298502374022979	0.8258637939824576	0.15272
164	0.05	0.8435405434954661	0.8423862646345094	0.15493
165	0.05	0.8431861271714045	0.8374501469233668	0.15551
166	0.05	0.8343915872322718	0.8331593134847751	0.15287
167	0.05	0.8534568876441406	0.8495395178527633	0.15202
168	0.05	0.8565112533295668	0.8560737532329609	0.1519
169	0.05	0.7829821299434692	0.7844466789796805	0.1536
170	0.05	0.8280814647949305	0.8255448337068025	0.15416
171	0.05	0.8189661071527758	0.8116220853202669	0.22142
172	0.05	0.8269171051631171	0.8246837638122297	0.16394
173	0.05	0.8363237048353288	0.8347272535811471	0.18557
174	0.05	0.8107978808799438	0.8063695885836374	0.15042
175	0.05	0.8336466129427429	0.823316419225945	0.15857
176	0.05	0.8280043750926751	0.8216717975759664	0.18516
177	0.05	0.8554316876537454	0.8524852403176167	0.14957
178	0.05	0.8470736317070757	0.8431198130373304	0.15308
179	0.05	0.8298217410848506	0.8266039571836757	0.18777
180	0.05	0.8538358900890121	0.8494495131267371	0.15999
181	0.05	0.8455491751816815	0.8431933084095979	0.14952
182	0.05	0.8609740673677515	0.8569933844283683	0.19058
183	0.05	0.7813560403898457	0.7808962250861192	0.1604
184	0.05	0.7944485632547783	0.7893255584141377	0.21386
185	0.05	0.853122471612866	0.8513722303917846	0.16755
186	0.05	0.8526920662526702	0.8497300183606962	0.15376
187	0.05	0.8608338725193826	0.8547311579013609	0.15367
188	0.05	0.845040857608101	0.84348961570299	0.16294
189	0.05	0.8368713165240267	0.8383251611993296	0.15611
190	0.05	0.8335527542474517	0.826910687609258	0.16034
191	0.05	0.8315258297807493	0.835896040774176	0.18165
192	0.05	0.7948568940180694	0.7877238873787428	0.15391
193	0.05	0.8486388879643356	0.848596390592153	0.15036
194	0.05	0.8480320630900766	0.844566885244178	0.16122
195	0.05	0.849157397069245	0.849714830616774	0.15678
196	0.05	0.8334142609640063	0.8257025779846381	0.15059
197	0.05	0.8194339741333709	0.8156811885962864	0.16361
